Social.Category,Source,gender.main,gender_norm.main,gender.ext,gender_norm.ext,gender.red,gender_norm.red,age.main,age_norm.main,age.ext,age_norm.ext,age.red,age_norm.red
acrobat,GPT2,-0.2910247,0.297668117,-0.03906098,0.183769951,-0.17937818,0.34102103,-0.101484254,0.190931291,-0.00822612,0.29667002,-0.09068642,0.104300246
action officer,GPT2,-0.18983923,0.559641096,0.003556232,0.543132413,-0.10156666,0.582585438,-0.062235974,0.400057311,0.003626911,0.375770477,-0.04918044,0.475447191
active citizen,GPT2,-0.17555949,0.596611878,0.002332245,0.532811349,-0.08806755,0.624493172,-0.058038384,0.422423267,0.010395894,0.420942858,-0.056867354,0.406710718
activist,GPT2,-0.30656594,0.257431263,-0.028431725,0.273399353,-0.20082012,0.274454928,-0.10466796,0.173967598,-0.012776902,0.266300662,-0.08133849,0.187889543
actor,GPT2,-0.25768346,0.383989838,-0.008736118,0.439479242,-0.16998963,0.370167607,-0.10468576,0.173872755,-0.024316192,0.189293937,-0.075322896,0.241681052
actress,GPT2,-0.23656248,0.438672848,0.00142736,0.525181058,-0.14014333,0.462824887,-0.08760004,0.26491034,-0.014465066,0.255034806,-0.06542745,0.330166243
actuary,GPT2,-0.2359622,0.440226996,-0.002312731,0.493643371,-0.14326715,0.453127047,-0.08855974,0.259796785,-0.014864706,0.252367834,-0.06468524,0.336803093
addict,GPT2,-0.32158834,0.218537706,-0.030653166,0.254667426,-0.21621065,0.226675316,-0.116904,0.10877049,-0.020893937,0.21213214,-0.09112137,0.100410919
addressee,GPT2,-0.24836344,0.40811972,-0.009293771,0.434776927,-0.15859742,0.40553451,-0.09216,0.240613573,-0.014107828,0.257418812,-0.067572534,0.310984877
administrative official,GPT2,-0.21114695,0.504474609,-0.019275267,0.350609643,-0.10817987,0.562054851,-0.046646617,0.483121847,0.02638778,0.527663702,-0.048329294,0.483058148
administrator,GPT2,-0.2838723,0.316185949,-0.038126927,0.191646195,-0.16760634,0.377566487,-0.07309903,0.342175853,0.01650362,0.461702383,-0.069085106,0.297459441
admiral,GPT2,-0.27354375,0.342926952,-0.018994706,0.352975427,-0.17821743,0.344624556,-0.106981255,0.161641703,-0.027170025,0.170249062,-0.07572242,0.238108504
adolescent,GPT2,-0.23653722,0.438738247,-0.007423976,0.450543655,-0.14182472,0.457605044,-0.089014895,0.257371589,-0.012262124,0.269736001,-0.073543325,0.257593996
adult female,GPT2,-0.16953062,0.612220849,0.008872813,0.587963587,-0.07846489,0.65430445,-0.06158886,0.403505319,0.004383528,0.38081971,-0.06302686,0.351632346
adult male,GPT2,-0.1790296,0.587627633,0.002965452,0.538150756,-0.09024756,0.617725372,-0.06425806,0.389283061,0.00421845,0.379718074,-0.063838474,0.344374884
adult,GPT2,-0.21233997,0.501385835,-0.011925992,0.412581167,-0.11515945,0.540386875,-0.08077791,0.301260592,0.000706607,0.356282013,-0.08147028,0.186711075
adulterer,GPT2,-0.1934244,0.550358956,0.004199657,0.548557984,-0.10547168,0.570462376,-0.07026393,0.357282074,-0.000723131,0.346740743,-0.06121172,0.367863348
adulteress,GPT2,-0.24635836,0.413310947,-0.002448306,0.492500158,-0.15174524,0.426806975,-0.094213635,0.229671221,-0.014659893,0.253734641,-0.07462317,0.24793801
adventurer,GPT2,-0.26533225,0.364186834,-0.011673387,0.414711216,-0.170155,0.369654219,-0.09987625,0.199499194,-0.018832564,0.225888583,-0.07359989,0.257088192
adversary,GPT2,-0.26264623,0.371141041,-0.015869277,0.37933008,-0.16104476,0.397936789,-0.08760064,0.264907143,-0.00926869,0.289712494,-0.06626902,0.322640914
advertiser,GPT2,-0.2568582,0.386126467,-0.007619864,0.448891863,-0.1629438,0.392041255,-0.08295899,0.289639177,-0.010839619,0.279228999,-0.05269307,0.444037213
advisee,GPT2,-0.2570606,0.385602446,0.001503825,0.525825839,-0.16601542,0.382505468,-0.09246028,0.239013596,-0.019763565,0.219675607,-0.056914024,0.406293395
adviser,GPT2,-0.24394771,0.41955221,-0.003702192,0.481926979,-0.15482834,0.417235549,-0.09211572,0.24084951,-0.019740153,0.219831845,-0.062239032,0.358677113
